subject,checker_type,destination,tested_at
api.inwemo.com,AVAILABILITY,domains.list,32:06.3
sfe-eu.beeppool.org,AVAILABILITY,domains.list,32:06.8
solo-etig.beeppool.org,AVAILABILITY,domains.list,32:07.3
solo-vdl.beeppool.org,AVAILABILITY,domains.list,32:07.8
solo-xsg.beeppool.org,AVAILABILITY,domains.list,32:08.3
stratum-uk.beeppool.org,AVAILABILITY,domains.list,32:08.7
test-api-explorer.beeppool.org,AVAILABILITY,domains.list,32:09.2
test-explorer.beeppool.org,AVAILABILITY,domains.list,32:09.7
us-east.beeppool.org,AVAILABILITY,domains.list,32:10.1
us-pool.beeppool.org,AVAILABILITY,domains.list,32:10.6
ws027.www.jqwww.download,AVAILABILITY,domains.list,35:21.9
www.mmc.center,AVAILABILITY,domains.list,43:24.6
www.myadstats.com,AVAILABILITY,domains.list,43:25.6
xhv-au.beeppool.org,AVAILABILITY,domains.list,43:26.0
xmr-useast1.beeppool.org,AVAILABILITY,domains.list,43:26.5
zcl-eu.beeppool.org,AVAILABILITY,domains.list,43:27.0
zen-tw.beeppool.org,AVAILABILITY,domains.list,43:27.5
ca.minexmr.com,AVAILABILITY,domains.list,43:28.1
dev.coinlab.biz,AVAILABILITY,domains.list,43:28.7
ftp.coinlab.biz,AVAILABILITY,domains.list,43:29.3
ocean.cryptaloot.pro,AVAILABILITY,domains.list,43:30.1
pool.coinlab.biz,AVAILABILITY,domains.list,43:30.7
pool.minexmr.com,AVAILABILITY,domains.list,43:31.3
rack.cryptaloot.pro,AVAILABILITY,domains.list,43:32.2
rock.cryptaloot.pro,AVAILABILITY,domains.list,43:33.0
sass.cryptaloot.pro,AVAILABILITY,domains.list,43:33.7
sass2.authcaptcha.com,AVAILABILITY,domains.list,43:34.4
sea.cryptaloot.pro,AVAILABILITY,domains.list,43:35.3
sea2.authcaptcha.com,AVAILABILITY,domains.list,43:36.0
stone.cryptaloot.pro,AVAILABILITY,domains.list,43:38.0
test.minr.pw,AVAILABILITY,domains.list,43:38.9
web.minr.pw,AVAILABILITY,domains.list,43:39.7
ws01.coinlab.biz,AVAILABILITY,domains.list,43:40.3
ws1.minr.pw,AVAILABILITY,domains.list,43:40.9
ws2.minr.pw,AVAILABILITY,domains.list,43:41.6
ws3.minr.pw,AVAILABILITY,domains.list,43:42.2
www.authcaptcha.com,AVAILABILITY,domains.list,43:42.9
www.coinlab.biz,AVAILABILITY,domains.list,43:43.4
www.cryptaloot.pro,AVAILABILITY,domains.list,43:44.7
www.minr.pw,AVAILABILITY,domains.list,43:45.3
www.safelinkconverter.com,AVAILABILITY,domains.list,43:46.0
xmr.coinlab.biz,AVAILABILITY,domains.list,43:46.5
cdn.jquery-uim.download,AVAILABILITY,domains.list,43:47.0
new.minr.pw,AVAILABILITY,domains.list,43:47.7
ocean2.authcaptcha.com,AVAILABILITY,domains.list,43:48.3
rintindown.com,AVAILABILITY,domains.list,43:49.0
rock2.authcaptcha.com,AVAILABILITY,domains.list,43:49.7
www.verifier.live,AVAILABILITY,domains.list,43:52.4
www.eeme7j.win,AVAILABILITY,domains.list,43:58.3
www.light.browsermine.com,AVAILABILITY,domains.list,43:59.0
www.lib.xmrm.pw,AVAILABILITY,domains.list,43:59.7
www.listat.biz,AVAILABILITY,domains.list,44:00.2
www.lmeeulcfttqv.ru,AVAILABILITY,domains.list,44:01.1
www.lookvision.info,AVAILABILITY,domains.list,44:02.5
www.ltstyov.ru,AVAILABILITY,domains.list,44:10.0
www.live.4480.org,AVAILABILITY,domains.list,44:11.3
www.malictuiar.com,AVAILABILITY,domains.list,44:12.0
www.marcycoin.org,AVAILABILITY,domains.list,44:12.9
www.mariuspetrescu.gq,AVAILABILITY,domains.list,44:14.5
www.mataharirama.xyz,AVAILABILITY,domains.list,44:15.2
www.mhiobjnirs.gq,AVAILABILITY,domains.list,44:16.9
www.m4.cd,AVAILABILITY,domains.list,44:18.7
www.mighbest.host,AVAILABILITY,domains.list,44:19.4
